 Date,XAUUSD Open,XAUUSD Low,XAUUSD High,XAUUSD Close,XAUUSD Adj. Close
8/28/2019,"1,542.69","1,533.68","1,546.23","1,540.56","1,540.56"
8/27/2019,"1,527.46","1,526.68","1,544.28","1,542.74","1,542.74"
8/26/2019,"1,521.25","1,521.25","1,551.13","1,527.58","1,527.58"
8/23/2019,"1,498.16","1,494.00","1,528.89","1,526.80","1,526.80"
8/22/2019,"1,502.63","1,493.73","1,503.45","1,498.25","1,498.25"
8/21/2019,"1,507.45","1,497.42","1,507.92","1,502.55","1,502.55"
8/20/2019,"1,495.90","1,494.63","1,508.00","1,507.40","1,507.40"
8/19/2019,"1,513.02","1,493.98","1,513.02","1,496.17","1,496.17"
8/16/2019,"1,523.34","1,505.50","1,527.13","1,512.72","1,512.72"
8/15/2019,"1,516.40","1,511.00","1,525.63","1,523.59","1,523.59"
8/14/2019,"1,501.42","1,495.53","1,522.77","1,516.40","1,516.40"
8/13/2019,"1,511.49","1,492.91","1,533.79","1,501.40","1,501.40"
8/12/2019,"1,499.08","1,488.83","1,513.50","1,511.92","1,511.92"
8/9/2019,"1,501.09","1,495.61","1,507.87","1,497.27","1,497.27"
8/8/2019,"1,501.47","1,491.92","1,509.05","1,501.18","1,501.18"
8/7/2019,"1,474.33","1,472.60","1,509.23","1,501.21","1,501.21"
8/6/2019,"1,463.98","1,457.59","1,474.95","1,473.67","1,473.67"
8/5/2019,"1,440.72","1,437.10","1,468.92","1,464.20","1,464.20"
8/2/2019,"1,445.03","1,430.71","1,447.10","1,440.60","1,440.60"
8/1/2019,"1,412.45","1,401.75","1,445.45","1,445.45","1,445.45"
7/31/2019,"1,430.80","1,412.60","1,432.30","1,412.60","1,412.60"
7/30/2019,"1,426.83","1,422.77","1,432.02","1,430.78","1,430.78"
7/29/2019,"1,420.00","1,417.89","1,428.10","1,426.73","1,426.73"
7/26/2019,"1,414.38","1,414.21","1,423.60","1,418.70","1,418.70"
7/25/2019,"1,425.45","1,411.80","1,432.44","1,414.35","1,414.35"
7/24/2019,"1,417.61","1,416.63","1,427.91","1,425.35","1,425.35"
7/23/2019,"1,424.74","1,415.17","1,428.12","1,417.69","1,417.69"
7/22/2019,"1,424.31","1,422.91","1,428.67","1,424.83","1,424.83"
7/19/2019,"1,446.02","1,422.40","1,449.27","1,425.13","1,425.13"
7/18/2019,"1,426.44","1,416.80","1,448.08","1,445.80","1,445.80"
7/17/2019,"1,406.01","1,400.74","1,426.46","1,426.32","1,426.32"
7/16/2019,"1,413.97","1,403.19","1,417.12","1,406.05","1,406.05"
7/15/2019,"1,415.54","1,408.33","1,419.22","1,413.83","1,413.83"
7/12/2019,"1,403.64","1,403.64","1,416.60","1,415.21","1,415.21"
7/11/2019,"1,418.81","1,403.14","1,425.59","1,404.00","1,404.00"
7/10/2019,"1,397.50","1,390.91","1,418.50","1,418.07","1,418.07"
7/9/2019,"1,395.46","1,387.38","1,398.77","1,397.65","1,397.65"
7/8/2019,"1,399.20","1,392.64","1,407.59","1,395.41","1,395.41"
7/5/2019,"1,415.58","1,387.80","1,424.00","1,398.46","1,398.46"
7/4/2019,"1,418.68","1,411.80","1,421.20","1,415.64","1,415.64"
7/3/2019,"1,418.31","1,413.06","1,435.00","1,418.60","1,418.60"
7/2/2019,"1,384.06","1,383.81","1,419.08","1,418.84","1,418.84"
7/1/2019,"1,409.58","1,382.59","1,493.20","1,383.91","1,383.91"
6/28/2019,"1,409.41","1,407.59","1,422.90","1,410.06","1,410.06"
6/27/2019,"1,408.84","1,401.10","1,411.58","1,409.17","1,409.17"
6/26/2019,"1,423.46","1,403.62","1,423.46","1,408.61","1,408.61"
6/25/2019,"1,419.49","1,416.20","1,438.65","1,423.31","1,423.31"
6/24/2019,"1,399.71","1,399.71","1,421.13","1,419.12","1,419.12"
6/21/2019,"1,388.46","1,384.26","1,407.39","1,399.02","1,399.02"
6/20/2019,"1,360.32","1,358.03","1,392.16","1,388.42","1,388.42"
6/19/2019,"1,346.63","1,341.98","1,361.10","1,359.62","1,359.62"
6/18/2019,"1,339.71","1,338.90","1,353.20","1,346.66","1,346.66"
6/17/2019,"1,341.57","1,333.31","1,342.87","1,339.67","1,339.67"
6/14/2019,"1,342.11","1,338.70","1,357.35","1,341.24","1,341.24"
6/13/2019,"1,333.43","1,332.60","1,342.75","1,342.00","1,342.00"
6/12/2019,"1,327.00","1,326.43","1,338.04","1,333.17","1,333.17"
6/11/2019,"1,327.94","1,320.50","1,329.90","1,326.78","1,326.78"
6/10/2019,"1,340.55","1,325.60","1,341.44","1,328.00","1,328.00"
6/7/2019,"1,335.46","1,330.81","1,347.10","1,340.40","1,340.40"
6/6/2019,"1,330.32","1,327.68","1,339.57","1,335.65","1,335.65"
6/5/2019,"1,325.44","1,324.73","1,343.73","1,330.30","1,330.30"
6/4/2019,"1,324.75","1,320.75","1,328.89","1,325.72","1,325.72"
6/3/2019,"1,306.15","1,306.15","1,327.76","1,324.66","1,324.66"
5/31/2019,"1,288.70","1,288.10","1,306.70","1,305.51","1,305.51"
5/30/2019,"1,280.25","1,275.79","1,288.86","1,288.54","1,288.54"
5/29/2019,"1,279.50","1,279.41","1,285.25","1,280.38","1,280.38"
5/28/2019,"1,285.09","1,277.00","1,286.37","1,279.43","1,279.43"
5/27/2019,"1,286.23","1,283.99","1,287.35","1,285.28","1,285.28"
5/24/2019,"1,283.67","1,281.11","1,284.96","1,284.96","1,284.96"
5/23/2019,"1,273.64","1,272.98","1,287.20","1,283.69","1,283.69"
5/22/2019,"1,274.84","1,272.80","1,277.34","1,273.57","1,273.57"
5/21/2019,"1,277.76","1,270.30","1,278.00","1,274.85","1,274.85"
5/20/2019,"1,277.72","1,274.10","1,278.94","1,277.79","1,277.79"
5/17/2019,"1,286.64","1,275.30","1,288.57","1,277.71","1,277.71"
5/16/2019,"1,296.42","1,284.77","1,298.65","1,286.51","1,286.51"
5/15/2019,"1,297.41","1,293.40","1,300.73","1,296.34","1,296.34"
5/14/2019,"1,299.92","1,294.12","1,303.11","1,296.98","1,296.98"
5/13/2019,"1,285.90","1,282.59","1,301.22","1,299.89","1,299.89"
5/10/2019,"1,283.90","1,283.45","1,288.90","1,285.84","1,285.84"
5/9/2019,"1,280.83","1,279.86","1,288.09","1,283.60","1,283.60"
5/8/2019,"1,284.52","1,279.91","1,290.76","1,280.67","1,280.67"
5/7/2019,"1,280.45","1,278.75","1,285.40","1,284.39","1,284.39"
5/6/2019,"1,278.74","1,277.53","1,285.27","1,280.38","1,280.38"
5/3/2019,"1,270.63","1,269.70","1,282.41","1,279.00","1,279.00"
5/2/2019,"1,276.51","1,266.80","1,277.89","1,270.67","1,270.67"
5/1/2019,"1,283.44","1,275.33","1,286.53","1,276.67","1,276.67"
4/30/2019,"1,279.92","1,279.79","1,286.10","1,283.42","1,283.42"
4/29/2019,"1,286.06","1,278.45","1,286.63","1,279.72","1,279.72"
4/26/2019,"1,277.31","1,277.30","1,288.64","1,286.15","1,286.15"
4/25/2019,"1,275.68","1,273.59","1,282.42","1,277.38","1,277.38"
4/24/2019,"1,272.43","1,268.88","1,277.99","1,275.66","1,275.66"
4/23/2019,"1,274.93","1,266.81","1,276.40","1,272.22","1,272.22"
4/22/2019,"1,276.14","1,274.24","1,279.72","1,274.91","1,274.91"
4/19/2019,"1,274.98","1,274.98","1,275.67","1,275.67","1,275.67"
4/18/2019,"1,274.04","1,271.50","1,277.60","1,275.60","1,275.60"
4/17/2019,"1,276.80","1,273.41","1,279.45","1,273.96","1,273.96"
4/16/2019,"1,287.41","1,273.57","1,288.75","1,276.86","1,276.86"
4/15/2019,"1,290.95","1,283.02","1,292.94","1,287.80","1,287.80"
4/12/2019,"1,292.61","1,290.60","1,295.25","1,290.80","1,290.80"
4/11/2019,"1,307.99","1,290.00","1,309.16","1,292.47","1,292.47"
4/10/2019,"1,304.03","1,301.55","1,310.40","1,308.12","1,308.12"
4/9/2019,"1,297.33","1,296.83","1,305.95","1,304.07","1,304.07"
4/8/2019,"1,291.26","1,288.88","1,303.40","1,297.70","1,297.70"
4/7/2019,"1,291.57","1,291.57","1,291.57","1,291.57","1,291.57"
4/5/2019,"1,292.34","1,285.75","1,293.40","1,291.72","1,291.72"
4/4/2019,"1,289.90","1,281.10","1,293.98","1,292.50","1,292.50"
4/3/2019,"1,292.51","1,289.03","1,294.03","1,289.84","1,289.84"
4/2/2019,"1,287.65","1,285.63","1,292.33","1,292.33","1,292.33"
4/1/2019,"1,293.74","1,287.10","1,296.85","1,287.71","1,287.71"
3/29/2019,"1,290.50","1,287.31","1,299.60","1,292.27","1,292.27"
3/28/2019,"1,309.72","1,288.70","1,311.87","1,290.17","1,290.17"
3/27/2019,"1,315.60","1,308.44","1,318.67","1,309.84","1,309.84"
3/26/2019,"1,321.90","1,313.10","1,322.89","1,315.20","1,315.20"
3/25/2019,"1,313.71","1,311.32","1,324.00","1,322.20","1,322.20"
3/22/2019,"1,309.44","1,307.20","1,314.40","1,313.21","1,313.21"
3/21/2019,"1,312.40","1,304.48","1,320.00","1,309.44","1,309.44"
3/20/2019,"1,306.60","1,299.86","1,316.37","1,312.52","1,312.52"
3/19/2019,"1,303.68","1,302.90","1,310.60","1,306.65","1,306.65"
3/18/2019,"1,307.85","1,298.60","1,334.95","1,303.73","1,303.73"
3/15/2019,"1,296.23","1,294.10","1,306.00","1,302.17","1,302.17"
3/14/2019,"1,309.15","1,293.90","1,310.29","1,296.30","1,296.30"
3/13/2019,"1,301.55","1,300.72","1,311.20","1,309.39","1,309.39"
3/12/2019,"1,293.48","1,292.32","1,301.93","1,301.30","1,301.30"
3/11/2019,"1,298.46","1,290.90","1,298.87","1,293.47","1,293.47"
3/10/2019,"1,298.74","1,298.74","1,298.74","1,298.74","1,298.74"
3/8/2019,"1,285.76","1,285.30","1,300.52","1,300.52","1,300.52"
3/7/2019,"1,286.26","1,282.60","1,288.00","1,285.37","1,285.37"
3/6/2019,"1,287.72","1,284.35","1,290.79","1,287.24","1,287.24"
3/5/2019,"1,286.73","1,281.98","1,289.43","1,287.71","1,287.71"
3/4/2019,"1,294.03","1,283.40","1,296.95","1,287.23","1,287.23"
3/1/2019,"1,313.37","1,290.59","1,314.95","1,290.59","1,290.59"
2/28/2019,"1,319.81","1,313.03","1,326.73","1,314.00","1,314.00"
2/27/2019,"1,329.01","1,317.70","1,329.82","1,320.10","1,320.10"
2/26/2019,"1,327.48","1,324.06","1,330.10","1,328.78","1,328.78"
2/25/2019,"1,334.95","1,325.70","1,334.95","1,327.61","1,327.61"
2/22/2019,"1,323.49","1,322.30","1,332.84","1,328.41","1,328.41"
2/21/2019,"1,338.59","1,324.36","1,341.20","1,324.48","1,324.48"
2/20/2019,"1,341.26","1,337.91","1,346.71","1,339.80","1,339.80"
2/19/2019,"1,326.56","1,323.00","1,341.84","1,340.35","1,340.35"
2/18/2019,"1,321.56","1,320.72","1,327.40","1,326.56","1,326.56"
2/15/2019,"1,312.38","1,311.64","1,322.04","1,321.49","1,321.49"
2/14/2019,"1,306.18","1,304.00","1,314.03","1,312.50","1,312.50"
2/13/2019,"1,310.84","1,305.34","1,317.49","1,305.90","1,305.90"
2/12/2019,"1,308.24","1,306.87","1,314.24","1,311.18","1,311.18"
2/11/2019,"1,314.75","1,304.30","1,314.75","1,308.61","1,308.61"
2/8/2019,"1,310.12","1,308.30","1,315.58","1,314.54","1,314.54"
2/7/2019,"1,306.59","1,302.91","1,311.34","1,309.90","1,309.90"
2/6/2019,"1,315.21","1,306.60","1,315.78","1,307.10","1,307.10"
2/5/2019,"1,312.13","1,311.19","1,316.50","1,314.70","1,314.70"
2/4/2019,"1,317.90","1,310.40","1,318.43","1,312.91","1,312.91"
2/1/2019,"1,321.12","1,316.50","1,322.77","1,318.69","1,318.69"
1/31/2019,"1,319.79","1,318.23","1,325.52","1,319.76","1,319.76"
1/30/2019,"1,311.77","1,309.89","1,322.99","1,318.20","1,318.20"
1/29/2019,"1,303.32","1,302.86","1,311.90","1,311.12","1,311.12"
1/28/2019,"1,302.54","1,298.51","1,304.20","1,303.39","1,303.39"
1/25/2019,"1,281.12","1,280.04","1,300.12","1,299.27","1,299.27"
1/24/2019,"1,282.84","1,278.18","1,284.74","1,280.62","1,280.62"
1/23/2019,"1,285.10","1,279.22","1,286.41","1,283.44","1,283.44"
1/22/2019,"1,280.22","1,277.71","1,285.30","1,284.19","1,284.19"
1/21/2019,"1,282.54","1,277.18","1,283.53","1,280.38","1,280.38"
1/18/2019,"1,292.05","1,280.74","1,292.39","1,280.74","1,280.74"
1/17/2019,"1,293.57","1,289.41","1,295.27","1,291.80","1,291.80"
1/16/2019,"1,289.72","1,288.40","1,294.93","1,292.90","1,292.90"
1/15/2019,"1,291.57","1,287.28","1,294.50","1,289.60","1,289.60"
1/14/2019,"1,287.66","1,287.66","1,295.66","1,291.85","1,291.85"
1/11/2019,"1,286.31","1,286.31","1,295.13","1,288.02","1,288.02"
1/10/2019,"1,293.10","1,286.83","1,297.02","1,286.83","1,286.83"
1/9/2019,"1,285.60","1,280.43","1,293.60","1,293.06","1,293.06"
1/8/2019,"1,288.88","1,280.35","1,289.90","1,285.10","1,285.10"
1/7/2019,"1,284.82","1,282.90","1,294.20","1,288.47","1,288.47"
1/4/2019,"1,294.26","1,277.65","1,298.19","1,284.61","1,284.61"
1/3/2019,"1,284.50","1,284.50","1,293.85","1,293.83","1,293.83"
1/2/2019,"1,282.85","1,278.90","1,288.60","1,282.45","1,282.45"
1/1/2019,"1,282.85","1,282.85","1,282.85","1,282.85","1,282.85"
12/31/2018,"1,280.62","1,277.59","1,284.01","1,282.14","1,282.14"
12/28/2018,"1,275.68","1,274.48","1,281.70","1,280.44","1,280.44"
12/27/2018,"1,267.02","1,266.83","1,278.66","1,275.45","1,275.45"
12/26/2018,"1,269.11","1,265.00","1,278.60","1,266.53","1,266.53"
12/25/2018,"1,269.21","1,269.10","1,269.21","1,269.11","1,269.11"
12/24/2018,"1,256.39","1,256.39","1,269.88","1,269.21","1,269.21"
12/19/2018,"1,249.60","1,242.01","1,257.87","1,242.01","1,242.01"
12/18/2018,"1,245.80","1,245.28","1,250.02","1,249.20","1,249.20"
12/17/2018,"1,238.61","1,236.30","1,247.99","1,246.03","1,246.03"
12/14/2018,"1,242.01","1,233.28","1,242.88","1,238.49","1,238.49"
12/13/2018,"1,245.65","1,241.13","1,246.68","1,242.79","1,242.79"
12/12/2018,"1,243.07","1,242.37","1,246.70","1,245.89","1,245.89"
12/11/2018,"1,244.37","1,241.40","1,249.20","1,242.80","1,242.80"
12/10/2018,"1,248.57","1,242.37","1,250.54","1,244.11","1,244.11"
12/7/2018,"1,237.98","1,237.59","1,250.07","1,248.43","1,248.43"
12/6/2018,"1,237.22","1,235.14","1,244.20","1,238.07","1,238.07"
12/5/2018,"1,238.78","1,234.00","1,239.19","1,237.40","1,237.40"
12/4/2018,"1,230.82","1,230.80","1,241.56","1,238.40","1,238.40"
12/3/2018,"1,221.97","1,221.63","1,234.52","1,230.30","1,230.30"
11/30/2018,"1,224.32","1,217.10","1,225.33","1,222.21","1,222.21"
11/29/2018,"1,220.96","1,220.60","1,227.96","1,224.49","1,224.49"
11/28/2018,"1,214.93","1,211.92","1,223.91","1,221.08","1,221.08"
11/27/2018,"1,222.30","1,212.08","1,224.64","1,214.20","1,214.20"
11/26/2018,"1,223.61","1,221.80","1,227.40","1,222.60","1,222.60"
11/23/2018,"1,227.04","1,221.05","1,228.71","1,223.17","1,223.17"
11/22/2018,"1,225.96","1,225.32","1,228.89","1,227.19","1,227.19"
11/21/2018,"1,221.69","1,219.99","1,229.55","1,225.68","1,225.68"
11/20/2018,"1,224.09","1,220.50","1,228.16","1,221.59","1,221.59"
11/19/2018,"1,221.71","1,218.32","1,225.06","1,223.97","1,223.97"
11/16/2018,"1,213.15","1,213.15","1,225.10","1,222.01","1,222.01"
11/15/2018,"1,210.88","1,208.66","1,215.59","1,213.29","1,213.29"
11/14/2018,"1,202.14","1,197.91","1,216.00","1,211.48","1,211.48"
11/13/2018,"1,200.52","1,196.90","1,205.00","1,201.55","1,201.55"
11/12/2018,"1,209.75","1,201.00","1,211.46","1,201.00","1,201.00"
11/9/2018,"1,223.54","1,206.97","1,223.54","1,209.37","1,209.37"
11/8/2018,"1,226.64","1,221.20","1,226.94","1,223.43","1,223.43"
11/7/2018,"1,227.11","1,225.16","1,235.40","1,225.70","1,225.70"
11/6/2018,"1,231.46","1,224.73","1,235.88","1,226.62","1,226.62"
11/5/2018,"1,232.84","1,227.70","1,234.72","1,230.91","1,230.91"
11/2/2018,"1,233.29","1,230.90","1,236.20","1,233.05","1,233.05"
11/1/2018,"1,214.70","1,214.70","1,237.04","1,233.25","1,233.25"
10/31/2018,"1,223.08","1,212.13","1,223.30","1,214.90","1,214.90"
10/30/2018,"1,229.47","1,220.40","1,230.56","1,223.11","1,223.11"
10/29/2018,"1,234.11","1,225.17","1,235.99","1,229.68","1,229.68"
10/26/2018,"1,232.26","1,230.43","1,241.87","1,233.77","1,233.77"
10/25/2018,"1,233.43","1,228.60","1,238.40","1,232.00","1,232.00"
10/24/2018,"1,230.41","1,226.66","1,233.54","1,233.47","1,233.47"
10/23/2018,"1,222.45","1,221.90","1,239.00","1,230.91","1,230.91"
10/22/2018,"1,226.32","1,220.52","1,228.70","1,222.12","1,222.12"
10/19/2018,"1,225.70","1,223.68","1,230.00","1,226.86","1,226.86"
10/18/2018,"1,222.29","1,219.69","1,227.30","1,225.82","1,225.82"
10/17/2018,"1,224.92","1,220.93","1,229.10","1,222.43","1,222.43"
10/16/2018,"1,226.89","1,223.96","1,231.49","1,224.62","1,224.62"
10/15/2018,"1,217.92","1,217.92","1,233.13","1,226.93","1,226.93"
10/12/2018,"1,224.49","1,216.02","1,224.49","1,217.89","1,217.89"
10/11/2018,"1,194.42","1,191.44","1,225.28","1,224.98","1,224.98"
10/10/2018,"1,189.78","1,186.25","1,194.72","1,194.24","1,194.24"
10/9/2018,"1,188.00","1,184.87","1,191.77","1,189.72","1,189.72"
10/8/2018,"1,202.85","1,184.77","1,203.87","1,188.18","1,188.18"
10/5/2018,"1,199.84","1,197.36","1,205.47","1,202.99","1,202.99"
10/4/2018,"1,197.25","1,196.14","1,205.81","1,199.60","1,199.60"
10/3/2018,"1,203.08","1,197.32","1,207.96","1,197.53","1,197.53"
10/2/2018,"1,189.02","1,188.94","1,207.86","1,203.00","1,203.00"
10/1/2018,"1,192.11","1,185.32","1,192.16","1,188.88","1,188.88"
9/28/2018,"1,182.76","1,181.41","1,193.28","1,191.51","1,191.51"
9/27/2018,"1,194.46","1,182.51","1,198.56","1,182.82","1,182.82"
9/26/2018,"1,201.10","1,192.30","1,202.46","1,194.41","1,194.41"
9/25/2018,"1,198.85","1,197.33","1,202.90","1,201.20","1,201.20"
9/24/2018,"1,199.45","1,194.54","1,203.85","1,198.63","1,198.63"
9/21/2018,"1,207.14","1,192.50","1,210.75","1,199.21","1,199.21"
9/20/2018,"1,203.95","1,201.56","1,207.95","1,207.25","1,207.25"
9/19/2018,"1,198.40","1,198.04","1,205.54","1,203.87","1,203.87"
9/18/2018,"1,201.13","1,196.90","1,202.95","1,198.35","1,198.35"
9/17/2018,"1,193.73","1,193.05","1,204.76","1,201.11","1,201.11"
9/14/2018,"1,201.52","1,193.66","1,208.39","1,193.67","1,193.67"
9/13/2018,"1,206.02","1,200.57","1,211.95","1,201.54","1,201.54"
9/12/2018,"1,198.80","1,193.18","1,208.50","1,206.00","1,206.00"
9/11/2018,"1,195.94","1,188.13","1,199.12","1,198.54","1,198.54"
9/10/2018,"1,195.97","1,191.79","1,198.15","1,195.69","1,195.69"
9/7/2018,"1,200.22","1,194.40","1,203.22","1,196.05","1,196.05"
9/6/2018,"1,196.76","1,196.30","1,206.55","1,200.20","1,200.20"
9/5/2018,"1,191.40","1,191.20","1,197.90","1,196.84","1,196.84"
9/4/2018,"1,201.28","1,189.90","1,201.61","1,191.50","1,191.50"
9/3/2018,"1,201.10","1,196.40","1,203.69","1,201.39","1,201.39"
8/31/2018,"1,199.81","1,199.04","1,208.10","1,201.05","1,201.05"
8/30/2018,"1,206.78","1,197.40","1,207.86","1,199.77","1,199.77"
8/29/2018,"1,201.03","1,201.03","1,207.04","1,206.78","1,206.78"
8/28/2018,"1,211.28","1,200.13","1,214.18","1,201.20","1,201.20"
8/27/2018,"1,206.03","1,203.42","1,212.03","1,211.33","1,211.33"
8/24/2018,"1,185.35","1,183.90","1,208.41","1,206.11","1,206.11"
8/23/2018,"1,195.65","1,184.72","1,196.66","1,185.50","1,185.50"
8/22/2018,"1,196.10","1,192.91","1,201.30","1,195.55","1,195.55"
