 Date,EURUSD Open,EURUSD Low,EURUSD High,EURUSD Close,EURUSD Adj. Close
8/9/2019,1.1184,1.1181,1.1222,1.1203,1.1203
8/8/2019,1.12,1.1179,1.1227,1.118,1.118
8/7/2019,1.1199,1.118,1.1241,1.12,1.12
8/6/2019,1.1204,1.117,1.1249,1.1202,1.1202
8/5/2019,1.1109,1.1105,1.1212,1.1203,1.1203
8/2/2019,1.1085,1.1071,1.1116,1.1105,1.1105
8/1/2019,1.1076,1.1028,1.1094,1.1085,1.1085
7/31/2019,1.1156,1.1062,1.1162,1.1077,1.1077
7/30/2019,1.1146,1.1133,1.116,1.1156,1.1156
7/29/2019,1.1126,1.1114,1.115,1.1145,1.1145
7/26/2019,1.1147,1.1113,1.1151,1.1128,1.1128
7/25/2019,1.1139,1.1102,1.1187,1.1147,1.1147
7/24/2019,1.1151,1.113,1.1156,1.114,1.114
7/23/2019,1.1209,1.1146,1.121,1.1152,1.1152
7/22/2019,1.1217,1.1206,1.1225,1.1209,1.1209
7/19/2019,1.1277,1.1204,1.1282,1.1218,1.1218
7/18/2019,1.1225,1.1207,1.1279,1.1277,1.1277
7/17/2019,1.1211,1.12,1.1233,1.1224,1.1224
7/16/2019,1.1258,1.1202,1.1263,1.1211,1.1211
7/15/2019,1.1268,1.1254,1.1284,1.1258,1.1258
7/12/2019,1.1253,1.1239,1.1275,1.127,1.127
7/11/2019,1.1252,1.1246,1.1285,1.1253,1.1253
7/10/2019,1.1208,1.1202,1.1262,1.1251,1.1251
7/9/2019,1.1214,1.1195,1.1219,1.1208,1.1208
7/8/2019,1.1224,1.1207,1.1234,1.1214,1.1214
7/5/2019,1.1285,1.1208,1.1288,1.1227,1.1227
7/4/2019,1.1278,1.1274,1.1295,1.1285,1.1285
7/3/2019,1.1286,1.1269,1.1308,1.1278,1.1278
7/2/2019,1.1286,1.1276,1.1317,1.1284,1.1284
7/1/2019,1.1361,1.1282,1.1371,1.1286,1.1286
6/28/2019,1.1368,1.1354,1.1393,1.1368,1.1368
6/27/2019,1.1368,1.1348,1.1381,1.1369,1.1369
6/26/2019,1.1367,1.1349,1.1389,1.1369,1.1369
6/25/2019,1.1398,1.1345,1.1412,1.1367,1.1367
6/24/2019,1.1372,1.1368,1.1401,1.1398,1.1398
6/21/2019,1.1292,1.1283,1.1377,1.1373,1.1373
6/20/2019,1.1226,1.1226,1.1315,1.1292,1.1292
6/19/2019,1.1195,1.1188,1.1251,1.1226,1.1226
6/18/2019,1.1219,1.1182,1.1242,1.1194,1.1194
6/17/2019,1.121,1.1205,1.1244,1.1219,1.1219
6/14/2019,1.1276,1.1203,1.1289,1.1211,1.1211
6/13/2019,1.1287,1.1269,1.1303,1.1276,1.1276
6/12/2019,1.1327,1.1284,1.1343,1.1287,1.1287
6/11/2019,1.1312,1.1304,1.1337,1.1326,1.1326
6/10/2019,1.1328,1.1292,1.1332,1.1311,1.1311
6/7/2019,1.128,1.1252,1.1347,1.1333,1.1333
6/6/2019,1.1221,1.1221,1.1305,1.1276,1.1276
6/5/2019,1.1251,1.122,1.1302,1.1221,1.1221
6/4/2019,1.1241,1.1229,1.1276,1.1252,1.1252
6/3/2019,1.1164,1.1161,1.1262,1.1241,1.1241
5/31/2019,1.113,1.1125,1.1178,1.1167,1.1167
5/30/2019,1.1133,1.1117,1.1143,1.1129,1.1129
5/29/2019,1.116,1.1125,1.1172,1.1131,1.1131
5/28/2019,1.1194,1.116,1.1198,1.116,1.116
5/27/2019,1.1213,1.1187,1.1215,1.1192,1.1192
5/24/2019,1.1181,1.1175,1.1212,1.1205,1.1205
5/23/2019,1.1151,1.111,1.1186,1.1181,1.1181
5/22/2019,1.116,1.1149,1.1179,1.1151,1.1151
5/21/2019,1.1167,1.1142,1.1184,1.116,1.116
5/20/2019,1.1162,1.1151,1.1175,1.1167,1.1167
5/17/2019,1.1176,1.1155,1.1184,1.1157,1.1157
5/16/2019,1.1201,1.1167,1.1223,1.1173,1.1173
5/15/2019,1.1204,1.118,1.1222,1.1201,1.1201
5/14/2019,1.1222,1.1202,1.1244,1.1204,1.1204
5/13/2019,1.1235,1.1222,1.1263,1.1222,1.1222
5/10/2019,1.1215,1.1215,1.1253,1.1238,1.1238
5/9/2019,1.1191,1.1174,1.1249,1.1216,1.1216
5/8/2019,1.1191,1.1183,1.1213,1.1191,1.1191
5/7/2019,1.1199,1.1168,1.1217,1.1191,1.1191
5/6/2019,1.1176,1.1173,1.1209,1.1199,1.1199
5/3/2019,1.1173,1.1137,1.1204,1.1203,1.1203
5/2/2019,1.1197,1.1171,1.1218,1.1172,1.1172
5/1/2019,1.1215,1.1189,1.1264,1.1196,1.1196
4/30/2019,1.1185,1.1176,1.1229,1.1215,1.1215
4/29/2019,1.1145,1.1145,1.1187,1.1186,1.1186
4/26/2019,1.1131,1.1112,1.1173,1.1149,1.1149
4/25/2019,1.1154,1.112,1.1162,1.1133,1.1133
4/24/2019,1.1227,1.1142,1.1227,1.1156,1.1156
4/23/2019,1.1257,1.1193,1.126,1.1228,1.1228
4/22/2019,1.1244,1.1236,1.1262,1.1257,1.1257
4/19/2019,1.1231,1.123,1.1248,1.1245,1.1245
4/18/2019,1.1296,1.1227,1.1304,1.123,1.123
4/17/2019,1.1283,1.1279,1.1323,1.1296,1.1296
4/16/2019,1.1304,1.128,1.1314,1.1281,1.1281
4/15/2019,1.1305,1.1299,1.1321,1.1304,1.1304
4/12/2019,1.1254,1.1254,1.1323,1.1298,1.1298
4/11/2019,1.1273,1.125,1.1287,1.1253,1.1253
4/10/2019,1.1263,1.1231,1.1282,1.1273,1.1273
4/9/2019,1.1263,1.1256,1.1284,1.1263,1.1263
4/8/2019,1.1218,1.1213,1.1274,1.1263,1.1263
4/5/2019,1.1219,1.1211,1.124,1.1216,1.1216
4/4/2019,1.1233,1.1208,1.1248,1.1221,1.1221
4/3/2019,1.1204,1.1201,1.1254,1.1233,1.1233
4/2/2019,1.1213,1.1184,1.1213,1.1204,1.1204
4/1/2019,1.123,1.1204,1.1249,1.1213,1.1213
3/29/2019,1.1221,1.121,1.1247,1.1216,1.1216
3/28/2019,1.1245,1.1215,1.1261,1.1221,1.1221
3/27/2019,1.1266,1.124,1.1285,1.1244,1.1244
3/26/2019,1.1312,1.1264,1.1326,1.1266,1.1266
3/25/2019,1.1294,1.129,1.1331,1.1312,1.1312
3/22/2019,1.1375,1.1275,1.1391,1.1298,1.1298
3/21/2019,1.1413,1.1343,1.1437,1.1374,1.1374
3/20/2019,1.1352,1.1336,1.1447,1.1414,1.1414
3/19/2019,1.1335,1.1334,1.1361,1.1352,1.1352
3/18/2019,1.1323,1.1319,1.1359,1.1337,1.1337
3/15/2019,1.1303,1.13,1.1342,1.1327,1.1327
3/14/2019,1.1328,1.1295,1.1337,1.1304,1.1304
3/13/2019,1.1288,1.1278,1.1338,1.1327,1.1327
3/12/2019,1.1245,1.1245,1.1304,1.1286,1.1286
3/11/2019,1.1231,1.1222,1.1257,1.1245,1.1245
3/8/2019,1.1194,1.1186,1.1245,1.1232,1.1232
3/7/2019,1.1307,1.1178,1.132,1.1181,1.1181
3/6/2019,1.1307,1.129,1.1324,1.1311,1.1311
3/5/2019,1.134,1.129,1.1341,1.1308,1.1308
3/4/2019,1.1382,1.1309,1.1382,1.1342,1.1342
3/1/2019,1.1371,1.1354,1.1407,1.1365,1.1365
2/28/2019,1.1367,1.1362,1.1418,1.1374,1.1374
2/27/2019,1.1389,1.1362,1.1402,1.1371,1.1371
2/26/2019,1.136,1.1346,1.1401,1.1392,1.1392
2/25/2019,1.133,1.133,1.1367,1.1361,1.1361
2/22/2019,1.134,1.1319,1.1355,1.1332,1.1332
2/21/2019,1.1338,1.1323,1.1365,1.1338,1.1338
2/20/2019,1.1343,1.1325,1.137,1.134,1.134
2/19/2019,1.1311,1.1277,1.1356,1.1342,1.1342
2/18/2019,1.1295,1.129,1.1334,1.1315,1.1315
2/15/2019,1.1295,1.1237,1.1306,1.1299,1.1299
2/14/2019,1.1261,1.125,1.1306,1.1292,1.1292
2/13/2019,1.1326,1.1265,1.1341,1.1266,1.1266
2/12/2019,1.1277,1.1258,1.134,1.1332,1.1332
2/11/2019,1.132,1.1268,1.133,1.1276,1.1276
2/8/2019,1.134,1.1321,1.135,1.1322,1.1322
2/7/2019,1.1364,1.1326,1.1368,1.1342,1.1342
2/6/2019,1.1405,1.1362,1.1409,1.1368,1.1368
2/5/2019,1.1438,1.1402,1.144,1.1413,1.1413
2/4/2019,1.1454,1.1425,1.146,1.1435,1.1435
2/1/2019,1.1448,1.1435,1.1486,1.1459,1.1459
1/31/2019,1.1479,1.1437,1.1513,1.1445,1.1445
1/30/2019,1.1433,1.1408,1.15,1.1481,1.1481
1/29/2019,1.1428,1.1413,1.145,1.1433,1.1433
1/28/2019,1.1403,1.1393,1.1443,1.1428,1.1428
1/25/2019,1.1304,1.1301,1.1417,1.1415,1.1415
1/24/2019,1.1381,1.129,1.1391,1.1308,1.1308
1/23/2019,1.136,1.1352,1.1394,1.1382,1.1382
1/22/2019,1.1367,1.1338,1.1373,1.1353,1.1353
1/21/2019,1.1362,1.1357,1.1386,1.1369,1.1369
1/18/2019,1.1389,1.1354,1.141,1.1364,1.1364
1/17/2019,1.1394,1.1372,1.1405,1.1391,1.1391
1/16/2019,1.1412,1.1378,1.1424,1.1393,1.1393
1/15/2019,1.1469,1.1383,1.149,1.1414,1.1414
1/14/2019,1.146,1.1452,1.1482,1.1469,1.1469
1/11/2019,1.15,1.1459,1.1538,1.1462,1.1462
1/10/2019,1.1542,1.1488,1.157,1.1498,1.1498
1/9/2019,1.1442,1.1438,1.1555,1.1555,1.1555
1/8/2019,1.1474,1.1423,1.1484,1.144,1.144
1/7/2019,1.1398,1.1398,1.1482,1.1477,1.1477
1/4/2019,1.1394,1.1348,1.1418,1.1403,1.1403
1/3/2019,1.1345,1.1312,1.1409,1.1398,1.1398
1/2/2019,1.1462,1.1327,1.1495,1.1346,1.1346
12/31/2018,1.1437,1.1422,1.1465,1.1456,1.1456
12/28/2018,1.1431,1.1427,1.1472,1.1442,1.1442
12/27/2018,1.1353,1.1353,1.1453,1.144,1.144
12/26/2018,1.1393,1.1344,1.142,1.1354,1.1354
12/25/2018,1.1406,1.1396,1.1419,1.1401,1.1401
12/24/2018,1.1371,1.1362,1.1438,1.1408,1.1408
12/19/2018,1.1365,1.1362,1.1439,1.1373,1.1373
12/18/2018,1.1348,1.1338,1.1402,1.1363,1.1363
12/17/2018,1.1305,1.1302,1.1357,1.1345,1.1345
12/14/2018,1.1361,1.127,1.1365,1.1301,1.1301
12/13/2018,1.1369,1.1332,1.1392,1.1364,1.1364
12/12/2018,1.1317,1.1316,1.1386,1.1371,1.1371
12/11/2018,1.1355,1.1307,1.14,1.1327,1.1327
12/10/2018,1.1393,1.1351,1.1442,1.1355,1.1355
12/7/2018,1.1374,1.1361,1.142,1.1411,1.1411
12/6/2018,1.1344,1.1322,1.1411,1.1382,1.1382
12/5/2018,1.1343,1.1317,1.136,1.1345,1.1345
12/4/2018,1.1354,1.1323,1.1418,1.1338,1.1338
12/3/2018,1.1352,1.1321,1.1379,1.1345,1.1345
11/30/2018,1.1393,1.1306,1.14,1.1322,1.1322
11/29/2018,1.1368,1.1349,1.14,1.139,1.139
11/28/2018,1.1292,1.1268,1.1386,1.1369,1.1369
11/27/2018,1.1327,1.1278,1.1344,1.1297,1.1297
11/26/2018,1.1341,1.1327,1.1382,1.1334,1.1334
11/23/2018,1.1403,1.1328,1.1421,1.1331,1.1331
11/22/2018,1.1383,1.1383,1.1433,1.1406,1.1406
11/21/2018,1.1371,1.1366,1.1425,1.1384,1.1384
11/20/2018,1.1455,1.1359,1.1472,1.1369,1.1369
11/19/2018,1.1415,1.1394,1.1463,1.1451,1.1451
11/16/2018,1.1327,1.1322,1.142,1.1416,1.1416
11/15/2018,1.1309,1.1275,1.136,1.1332,1.1332
11/14/2018,1.129,1.1264,1.1343,1.1323,1.1323
11/13/2018,1.1219,1.1218,1.1291,1.1285,1.1285
11/12/2018,1.1323,1.1234,1.1331,1.1234,1.1234
11/9/2018,1.1365,1.1318,1.1369,1.1336,1.1336
11/8/2018,1.1427,1.1355,1.1444,1.136,1.136
11/7/2018,1.1427,1.1398,1.1499,1.1439,1.1439
11/6/2018,1.1408,1.1393,1.1437,1.1418,1.1418
11/5/2018,1.1388,1.136,1.1423,1.1408,1.1408
11/2/2018,1.1409,1.1375,1.1456,1.1391,1.1391
11/1/2018,1.1313,1.1309,1.1423,1.1409,1.1409
10/31/2018,1.1345,1.1302,1.136,1.1311,1.1311
10/30/2018,1.1374,1.1341,1.1387,1.1344,1.1344
10/29/2018,1.1396,1.1364,1.1415,1.1373,1.1373
10/26/2018,1.1373,1.1336,1.1418,1.1402,1.1402
10/25/2018,1.1393,1.1357,1.1432,1.1375,1.1375
10/24/2018,1.1471,1.1382,1.1475,1.1392,1.1392
10/23/2018,1.1466,1.144,1.1491,1.1471,1.1471
10/22/2018,1.1517,1.1456,1.155,1.1465,1.1465
10/19/2018,1.1453,1.1435,1.1533,1.1523,1.1523
10/18/2018,1.1501,1.145,1.1526,1.1453,1.1453
10/17/2018,1.1575,1.1497,1.158,1.15,1.15
10/16/2018,1.1579,1.1567,1.162,1.1575,1.1575
10/15/2018,1.1545,1.1543,1.1605,1.1579,1.1579
10/12/2018,1.1587,1.1537,1.161,1.1559,1.1559
10/11/2018,1.1522,1.1521,1.1598,1.1593,1.1593
10/10/2018,1.1493,1.148,1.1544,1.1521,1.1521
10/9/2018,1.149,1.1433,1.1502,1.1491,1.1491
10/8/2018,1.1523,1.1461,1.1529,1.1492,1.1492
10/5/2018,1.1516,1.1487,1.1546,1.152,1.152
10/4/2018,1.1479,1.1464,1.1534,1.1514,1.1514
10/3/2018,1.1547,1.1471,1.1592,1.1478,1.1478
10/2/2018,1.1579,1.1506,1.158,1.1545,1.1545
10/1/2018,1.1619,1.1564,1.1622,1.1578,1.1578
9/28/2018,1.1641,1.1571,1.165,1.1603,1.1603
9/27/2018,1.174,1.164,1.1757,1.1641,1.1641
9/26/2018,1.1766,1.1728,1.1797,1.1739,1.1739
9/25/2018,1.1749,1.1732,1.1792,1.1767,1.1767
9/24/2018,1.1744,1.1725,1.1814,1.1749,1.1749
9/21/2018,1.1778,1.1734,1.1802,1.1753,1.1753
9/20/2018,1.1673,1.1669,1.1784,1.1777,1.1777
9/19/2018,1.1667,1.1652,1.1714,1.1672,1.1672
9/18/2018,1.1685,1.1653,1.1723,1.1666,1.1666
9/17/2018,1.1625,1.1623,1.1697,1.1683,1.1683
9/14/2018,1.169,1.1621,1.1721,1.1624,1.1624
9/13/2018,1.1627,1.161,1.1701,1.169,1.169
9/12/2018,1.1606,1.1571,1.1647,1.1626,1.1626
9/11/2018,1.1592,1.1567,1.1643,1.1605,1.1605
9/10/2018,1.1551,1.1528,1.1613,1.1596,1.1596
9/7/2018,1.1622,1.1551,1.1649,1.1556,1.1556
9/6/2018,1.1631,1.1607,1.1657,1.1623,1.1623
9/5/2018,1.1581,1.1544,1.1633,1.1631,1.1631
9/4/2018,1.1619,1.1532,1.162,1.1582,1.1582
9/3/2018,1.1597,1.1591,1.1627,1.1619,1.1619
8/31/2018,1.1671,1.1586,1.169,1.1608,1.1608
8/30/2018,1.1707,1.1643,1.1717,1.1669,1.1669
8/29/2018,1.1696,1.1653,1.171,1.1707,1.1707
8/28/2018,1.1678,1.1664,1.1732,1.1695,1.1695
8/27/2018,1.1616,1.1597,1.1693,1.1678,1.1678
8/24/2018,1.1539,1.1536,1.1637,1.1622,1.1622
8/23/2018,1.1595,1.153,1.1599,1.1542,1.1542
8/22/2018,1.1571,1.1554,1.1623,1.1596,1.1596
8/21/2018,1.1482,1.1482,1.16,1.157,1.157
8/20/2018,1.144,1.1396,1.1485,1.1483,1.1483
8/17/2018,1.1377,1.1367,1.1445,1.144,1.144
8/16/2018,1.1345,1.1338,1.1408,1.1377,1.1377
8/15/2018,1.1345,1.1302,1.1354,1.1346,1.1346
8/14/2018,1.1411,1.1331,1.1429,1.1343,1.1343
8/13/2018,1.1377,1.1366,1.1432,1.1411,1.1411
8/10/2018,1.1526,1.1388,1.1535,1.1414,1.1414
8/9/2018,1.1611,1.1527,1.1619,1.1528,1.1528
8/8/2018,1.16,1.1574,1.1628,1.161,1.161
8/7/2018,1.1552,1.1552,1.1608,1.1599,1.1599
8/6/2018,1.157,1.1531,1.1572,1.1554,1.1554
8/3/2018,1.1586,1.1562,1.1609,1.1566,1.1566
8/2/2018,1.1659,1.1583,1.1667,1.1586,1.1586
8/1/2018,1.1692,1.1658,1.1699,1.1661,1.1661
7/31/2018,1.1708,1.1687,1.1745,1.1692,1.1692
7/30/2018,1.1655,1.165,1.1718,1.1705,1.1705
7/27/2018,1.1641,1.1623,1.1664,1.1658,1.1658
7/26/2018,1.1728,1.1641,1.1743,1.1643,1.1643
7/25/2018,1.1676,1.1666,1.1738,1.1729,1.1729
7/24/2018,1.1692,1.1656,1.1716,1.1687,1.1687
7/23/2018,1.1728,1.1685,1.175,1.1692,1.1692
7/20/2018,1.1645,1.1627,1.1737,1.1721,1.1721
7/19/2018,1.1639,1.1576,1.1673,1.1642,1.1642
7/18/2018,1.1661,1.1603,1.1665,1.1639,1.1639
7/17/2018,1.1711,1.1652,1.1744,1.1661,1.1661
7/16/2018,1.1687,1.1676,1.1724,1.1711,1.1711
7/13/2018,1.1671,1.1614,1.1686,1.1683,1.1683
7/12/2018,1.1673,1.1651,1.1696,1.1671,1.1671
7/11/2018,1.1745,1.1667,1.1758,1.1673,1.1673
7/10/2018,1.1766,1.1692,1.1766,1.1744,1.1744
7/9/2018,1.1747,1.1733,1.179,1.175,1.175
7/6/2018,1.1692,1.168,1.1765,1.1743,1.1743
7/5/2018,1.1657,1.165,1.1719,1.1691,1.1691
7/4/2018,1.1659,1.1631,1.1682,1.1657,1.1657
7/3/2018,1.164,1.1623,1.1672,1.1657,1.1657
7/2/2018,1.1685,1.1593,1.1685,1.164,1.164
6/29/2018,1.1569,1.1559,1.169,1.1686,1.1686
6/28/2018,1.1554,1.1528,1.1596,1.1569,1.1569
6/27/2018,1.1646,1.1542,1.1672,1.1554,1.1554
6/26/2018,1.1705,1.1637,1.1719,1.1647,1.1647
6/25/2018,1.1665,1.1629,1.1712,1.1704,1.1704
6/22/2018,1.1603,1.1601,1.1674,1.1659,1.1659
6/21/2018,1.1571,1.1512,1.1631,1.1604,1.1604
6/20/2018,1.1589,1.1539,1.1599,1.1575,1.1575
6/19/2018,1.1623,1.1531,1.1644,1.1591,1.1591
6/18/2018,1.1589,1.1566,1.1624,1.1623,1.1623
6/15/2018,1.1569,1.1546,1.1625,1.1607,1.1607
6/14/2018,1.1792,1.1567,1.1839,1.1567,1.1567
6/13/2018,1.1745,1.173,1.1799,1.1791,1.1791
6/12/2018,1.1783,1.1735,1.1807,1.1744,1.1744
6/11/2018,1.1774,1.1771,1.1819,1.1785,1.1785
6/8/2018,1.18,1.1728,1.181,1.177,1.177
6/7/2018,1.1776,1.1774,1.1839,1.1798,1.1798
6/6/2018,1.1717,1.1714,1.1795,1.1775,1.1775
6/5/2018,1.1699,1.1653,1.1732,1.1718,1.1718
6/4/2018,1.1663,1.1661,1.1744,1.1699,1.1699
6/1/2018,1.1693,1.1625,1.1716,1.1662,1.1662
5/31/2018,1.1668,1.1642,1.1724,1.1694,1.1694
5/30/2018,1.1538,1.1519,1.1671,1.1665,1.1665
5/29/2018,1.1624,1.1516,1.1639,1.154,1.154
5/28/2018,1.1683,1.1608,1.1728,1.1625,1.1625
5/25/2018,1.1722,1.1648,1.1733,1.1652,1.1652
5/24/2018,1.1697,1.1692,1.1749,1.172,1.172
5/23/2018,1.1781,1.1678,1.1789,1.1696,1.1696
5/22/2018,1.1791,1.1759,1.1829,1.1779,1.1779
5/21/2018,1.1773,1.1717,1.1795,1.179,1.179
5/18/2018,1.1794,1.1751,1.1822,1.1768,1.1768
5/17/2018,1.1807,1.1777,1.1835,1.1794,1.1794
5/16/2018,1.184,1.1764,1.1853,1.1807,1.1807
5/15/2018,1.1926,1.1822,1.1938,1.1838,1.1838
5/14/2018,1.1943,1.1927,1.1995,1.1927,1.1927
5/11/2018,1.1916,1.1893,1.1967,1.1941,1.1941
5/10/2018,1.1849,1.1844,1.1944,1.1915,1.1915
5/9/2018,1.1866,1.1824,1.1895,1.185,1.185
5/8/2018,1.1922,1.1841,1.1938,1.1865,1.1865
5/7/2018,1.1964,1.1899,1.1978,1.1923,1.1923
5/4/2018,1.1989,1.1912,1.1995,1.1963,1.1963
5/3/2018,1.1952,1.1949,1.2007,1.1989,1.1989
5/2/2018,1.1993,1.1939,1.203,1.1951,1.1951
5/1/2018,1.2077,1.1982,1.2084,1.1992,1.1992
4/30/2018,1.2126,1.2065,1.2139,1.208,1.208
4/27/2018,1.2104,1.2057,1.2132,1.213,1.213
4/26/2018,1.2162,1.2097,1.2208,1.2103,1.2103
4/25/2018,1.2232,1.2161,1.2238,1.2161,1.2161
4/24/2018,1.2208,1.2184,1.2245,1.2232,1.2232
4/23/2018,1.2274,1.2199,1.2289,1.2208,1.2208
4/20/2018,1.2346,1.2252,1.2353,1.2292,1.2292
