 Date,DXY Close,DXY Adj. Close,DXY vs SPY Correlation,DXY Beta (DXY:SPY)
12/27/2018,96.48,96.48,0.17,-0.03
12/26/2018,97.05,97.05,-0.01,-0.03
12/25/2018,96.55,96.55,,
12/24/2018,96.55,96.55,-0.05,-0.05
12/23/2018,96.91,96.91,,
12/21/2018,96.96,96.96,0.1,-0.05
12/20/2018,96.28,96.28,-0.01,-0.05
12/19/2018,97.03,97.03,-0.14,-0.05
12/18/2018,97.1,97.1,-0.08,-0.05
12/17/2018,97.1,97.1,-0.18,-0.05
12/14/2018,97.44,97.44,-0.11,-0.06
12/13/2018,97.06,97.06,-0.07,-0.05
12/12/2018,97.04,97.04,-0.05,-0.05
12/11/2018,97.39,97.39,-0.15,-0.05
12/10/2018,97.22,97.22,-0.21,-0.05
12/9/2018,96.63,96.63,,
12/7/2018,96.51,96.51,-0.27,-0.05
12/6/2018,96.81,96.81,-0.32,-0.06
12/5/2018,97.07,97.07,,
12/4/2018,96.97,96.97,-0.42,-0.06
12/3/2018,97.04,97.04,-0.41,-0.06
12/2/2018,97.09,97.09,,
11/30/2018,97.27,97.27,-0.47,-0.06
11/29/2018,96.78,96.78,-0.5,-0.06
11/28/2018,96.79,96.79,-0.4,-0.06
11/27/2018,97.37,97.37,-0.32,-0.05
11/26/2018,97.07,97.07,-0.37,-0.06
11/25/2018,96.94,96.94,,
11/23/2018,96.92,96.92,-0.28,-0.06
11/22/2018,96.71,96.71,,
11/21/2018,96.71,96.71,-0.21,-0.06
11/20/2018,96.84,96.84,-0.22,-0.06
11/19/2018,96.19,96.19,-0.28,-0.05
11/18/2018,96.43,96.43,,
11/16/2018,96.47,96.47,-0.28,-0.05
11/15/2018,96.93,96.93,-0.29,-0.05
11/14/2018,96.8,96.8,-0.37,-0.05
11/13/2018,97.3,97.3,-0.36,-0.05
11/12/2018,97.54,97.54,-0.29,-0.05
11/9/2018,96.87,96.87,-0.26,-0.05
11/8/2018,96.72,96.72,-0.24,-0.05
11/7/2018,96,96,-0.01,-0.05
11/6/2018,96.32,96.32,0.05,-0.04
11/5/2018,96.28,96.28,0.08,-0.05
11/4/2018,96.4,96.4,,
11/2/2018,96.54,96.54,0.09,-0.04
11/1/2018,96.28,96.28,0.27,-0.04
10/31/2018,97.13,97.13,0.27,-0.04
10/30/2018,97.01,97.01,0.21,-0.04
10/29/2018,96.58,96.58,0.22,-0.04
10/28/2018,96.41,96.41,,
10/26/2018,96.36,96.36,0.17,-0.04
10/25/2018,96.68,96.68,0.13,-0.04
10/24/2018,96.43,96.43,0.38,-0.05
10/23/2018,95.96,95.96,0.38,-0.04
10/22/2018,96.01,96.01,0.39,-0.04
10/21/2018,95.66,95.66,,
10/19/2018,95.71,95.71,0.41,-0.04
10/18/2018,95.9,95.9,0.46,-0.04
10/17/2018,95.58,95.58,0.28,-0.04
10/16/2018,95.05,95.05,0.33,-0.04
10/15/2018,95.06,95.06,0.33,-0.04
10/14/2018,95.33,95.33,,
10/12/2018,95.22,95.22,0.31,-0.04
10/11/2018,95.02,95.02,0.16,-0.04
10/10/2018,95.51,95.51,-0.07,-0.05
10/9/2018,95.67,95.67,-0.08,-0.06
10/8/2018,95.76,95.76,-0.07,-0.06
10/5/2018,95.62,95.62,-0.13,-0.06
10/4/2018,95.75,95.75,-0.19,-0.06
10/3/2018,95.76,95.76,-0.17,-0.06
10/2/2018,95.51,95.51,-0.12,-0.06
10/1/2018,95.3,95.3,-0.17,-0.05
9/30/2018,95.14,95.14,,
9/28/2018,95.13,95.13,-0.17,-0.06
9/27/2018,94.89,94.89,-0.31,-0.06
9/26/2018,94.19,94.19,-0.31,-0.06
9/25/2018,94.13,94.13,-0.31,-0.06
9/24/2018,94.19,94.19,-0.38,-0.06
9/23/2018,94.19,94.19,,
9/21/2018,94.22,94.22,-0.38,-0.06
9/20/2018,93.91,93.91,-0.29,-0.05
9/19/2018,94.54,94.54,-0.28,-0.05
9/18/2018,94.64,94.64,-0.35,-0.05
9/17/2018,94.5,94.5,-0.51,-0.05
9/16/2018,94.95,94.95,,
9/14/2018,94.93,94.93,-0.54,-0.05
9/13/2018,94.52,94.52,-0.46,-0.05
9/12/2018,94.8,94.8,-0.44,-0.05
9/11/2018,95.25,95.25,-0.35,-0.05
9/10/2018,95.15,95.15,-0.35,-0.05
9/9/2018,95.38,95.38,,
9/7/2018,95.4,95.4,-0.45,-0.05
9/6/2018,95.02,95.02,-0.48,-0.05
9/5/2018,95.1,95.1,-0.51,-0.05
9/4/2018,95.41,95.41,-0.51,-0.04
9/3/2018,95.14,95.14,,
9/2/2018,95.22,95.22,,
8/31/2018,95.05,95.05,-0.48,-0.04
8/30/2018,94.72,94.72,-0.47,-0.04
8/29/2018,94.6,94.6,-0.37,-0.04
8/28/2018,94.72,94.72,-0.38,-0.04
8/27/2018,94.78,94.78,-0.3,-0.04
8/24/2018,95.15,95.15,-0.13,-0.04
8/23/2018,95.67,95.67,-0.07,-0.04
8/22/2018,95.15,95.15,-0.1,-0.04
8/21/2018,95.26,95.26,-0.14,-0.03
8/20/2018,95.9,95.9,-0.15,-0.03
8/19/2018,96.12,96.12,,
8/17/2018,96.1,96.1,-0.1,-0.03
8/16/2018,96.64,96.64,-0.01,-0.03
8/15/2018,96.7,96.7,-0.04,-0.03
8/14/2018,96.73,96.73,-0.1,-0.03
8/13/2018,96.39,96.39,-0.06,-0.03
8/12/2018,96.36,96.36,,
8/10/2018,96.36,96.36,0.21,-0.03
8/9/2018,95.5,95.5,0.27,-0.03
8/8/2018,95.05,95.05,0.26,-0.02
8/7/2018,95.22,95.22,0.06,-0.03
8/6/2018,95.36,95.36,0.05,-0.02
8/5/2018,95.26,95.26,,
8/3/2018,95.14,95.14,0.05,-0.02
8/2/2018,95.16,95.16,-0.13,-0.02
8/1/2018,94.62,94.62,-0.15,-0.03
7/31/2018,94.49,94.49,-0.11,-0.03
7/30/2018,94.32,94.32,-0.18,-0.03
7/27/2018,94.67,94.67,-0.18,-0.03
7/26/2018,94.75,94.75,-0.1,-0.03
7/25/2018,94.36,94.36,-0.24,-0.03
7/24/2018,94.61,94.61,-0.22,-0.03
7/23/2018,94.67,94.67,-0.1,-0.03
7/22/2018,94.33,94.33,,
7/20/2018,94.45,94.45,-0.15,-0.03
7/19/2018,95.15,95.15,-0.08,-0.03
7/18/2018,95.08,95.08,-0.09,-0.03
7/17/2018,94.94,94.94,-0.16,-0.03
7/16/2018,94.51,94.51,-0.17,-0.03
7/15/2018,94.74,94.74,,
7/13/2018,94.75,94.75,-0.17,-0.03
7/12/2018,94.81,94.81,-0.1,-0.03
7/11/2018,94.72,94.72,-0.01,-0.03
7/10/2018,94.15,94.15,-0.01,-0.02
7/9/2018,94.08,94.08,-0.02,-0.03
7/8/2018,93.98,93.98,,
7/6/2018,94.04,94.04,0.11,-0.02
7/5/2018,94.47,94.47,0.18,-0.02
7/4/2018,94.67,94.67,,
7/3/2018,94.67,94.67,0.06,-0.02
7/2/2018,95.03,95.03,0.03,-0.02
7/1/2018,94.57,94.57,,
6/29/2018,94.64,94.64,0.05,-0.02
6/28/2018,95.39,95.39,0.08,-0.02
6/27/2018,95.27,95.27,0.26,-0.02
6/26/2018,94.66,94.66,-0.03,-0.01
6/25/2018,94.28,94.28,-0.3,-0.01
6/24/2018,94.51,94.51,,
6/22/2018,94.52,94.52,-0.31,-0.01
6/21/2018,94.74,94.74,-0.37,-0.01
6/20/2018,95.06,95.06,-0.34,-0.01
6/19/2018,95.08,95.08,-0.31,-0.01
6/18/2018,94.8,94.8,-0.3,-0.01
6/17/2018,94.87,94.87,,
6/15/2018,94.79,94.79,-0.33,-0.01
6/14/2018,94.77,94.77,-0.47,-0.01
6/13/2018,93.71,93.71,-0.47,-0.01
6/12/2018,93.8,93.8,-0.54,-0.01
6/11/2018,93.58,93.58,-0.54,-0.01
6/10/2018,93.5,93.5,,
6/8/2018,93.55,93.55,-0.56,-0.01
6/7/2018,93.4,93.4,-0.62,-0.01
6/6/2018,93.66,93.66,-0.6,-0.01
6/5/2018,93.9,93.9,-0.6,-0.01
6/4/2018,94.02,94.02,-0.58,-0.01
6/3/2018,94.17,94.17,,
6/1/2018,94.19,94.19,-0.57,-0.01
5/31/2018,93.98,93.98,-0.62,-0.01
5/30/2018,94.15,94.15,-0.47,-0.01
5/29/2018,94.83,94.83,-0.29,-0.01
5/28/2018,94.19,94.19,,
5/27/2018,94.19,94.19,,
5/25/2018,94.19,94.19,-0.3,0
5/24/2018,93.76,93.76,-0.36,0
5/23/2018,94,94,-0.26,0
5/22/2018,93.61,93.61,-0.29,0
5/21/2018,93.68,93.68,-0.08,0
5/20/2018,93.71,93.71,,
5/18/2018,93.64,93.64,-0.09,0
5/17/2018,93.47,93.47,-0.14,0
5/16/2018,93.39,93.39,-0.16,0
5/15/2018,93.22,93.22,-0.08,0
5/14/2018,92.59,92.59,-0.1,0.01
5/13/2018,92.51,92.51,,
5/11/2018,92.54,92.54,-0.17,0.01
5/10/2018,92.65,92.65,-0.05,0.01
5/9/2018,93.04,93.04,0.02,0.01
5/8/2018,93.12,93.12,0.05,0.01
5/7/2018,92.75,92.75,-0.11,0.01
5/6/2018,92.58,92.58,,
5/4/2018,92.57,92.57,-0.16,0.01
5/3/2018,92.41,92.41,0.07,0.01
5/2/2018,92.51,92.51,0.09,0.01
5/1/2018,92.45,92.45,0.05,0.01
4/30/2018,91.84,91.84,0.11,0.01
4/29/2018,91.56,91.56,,
4/27/2018,91.54,91.54,0.16,0.01
4/26/2018,91.56,91.56,0.12,0.01
4/25/2018,91.17,91.17,0.05,0.01
4/24/2018,90.77,90.77,-0.06,0
4/23/2018,90.95,90.95,-0.24,0
4/22/2018,90.39,90.39,,
4/20/2018,90.32,90.32,-0.06,0
4/19/2018,89.94,89.94,-0.06,0
4/18/2018,89.62,89.62,-0.04,0
4/17/2018,89.52,89.52,-0.04,0
4/16/2018,89.42,89.42,0.05,0
4/15/2018,89.81,89.81,,
4/13/2018,89.8,89.8,0.05,0
4/12/2018,89.75,89.75,0.03,0
4/11/2018,89.57,89.57,0.03,0
4/10/2018,89.59,89.59,0.09,0
4/9/2018,89.84,89.84,0.11,0
4/8/2018,90.19,90.19,,
4/6/2018,90.11,90.11,0.02,0.01
4/5/2018,90.46,90.46,0.02,0
4/4/2018,90.14,90.14,0.03,0
4/3/2018,90.2,90.2,-0.01,0
4/2/2018,90.05,90.05,-0.02,-0.01
4/1/2018,90,90,,
3/30/2018,89.97,89.97,,
3/29/2018,90.15,90.15,-0.06,-0.01
3/28/2018,90.06,90.06,-0.01,-0.01
3/27/2018,89.33,89.33,0.02,0
3/26/2018,89.03,89.03,0.13,0
3/25/2018,89.47,89.47,,
3/23/2018,89.48,89.48,0.03,0.02
3/22/2018,89.86,89.86,0.1,0.01
3/21/2018,89.78,89.78,0.08,0.01
3/20/2018,90.37,90.37,0.04,0.02
3/19/2018,89.77,89.77,-0.15,0.02
3/18/2018,90.21,90.21,,
3/16/2018,90.23,90.23,-0.15,0.01
3/15/2018,90.14,90.14,-0.24,0.01
3/14/2018,89.7,89.7,-0.32,0.01
3/13/2018,89.66,89.66,-0.34,0
3/12/2018,89.89,89.89,-0.38,0
3/11/2018,90.12,90.12,,
3/9/2018,90.09,90.09,-0.33,0
3/8/2018,90.18,90.18,-0.26,0
3/7/2018,89.64,89.64,-0.28,0
3/6/2018,89.62,89.62,-0.27,0
3/5/2018,90.08,90.08,-0.34,0
3/4/2018,89.99,89.99,,
3/2/2018,89.94,89.94,-0.38,0
3/1/2018,90.32,90.32,-0.42,-0.01
2/28/2018,90.61,90.61,-0.41,0
2/27/2018,90.36,90.36,-0.37,0
2/26/2018,89.85,89.85,-0.37,0.01
2/25/2018,89.96,89.96,,
2/23/2018,89.88,89.88,-0.43,0.01
2/22/2018,89.74,89.74,-0.42,0.01
2/21/2018,90,90,-0.38,0.01
2/20/2018,89.72,89.72,-0.38,0.01
2/19/2018,89.1,89.1,,
2/18/2018,89.06,89.06,,
2/16/2018,89.1,89.1,-0.42,0.02
2/15/2018,88.59,88.59,-0.38,0.02
2/14/2018,89.12,89.12,-0.33,0.03
2/13/2018,89.7,89.7,-0.3,0.04
2/12/2018,90.21,90.21,-0.26,0.04
2/11/2018,90.37,90.37,,
2/9/2018,90.44,90.44,-0.34,0.04
2/8/2018,90.23,90.23,-0.41,0.04
2/7/2018,90.25,90.25,-0.41,0.05
2/6/2018,89.58,89.58,-0.47,0.06
2/5/2018,89.55,89.55,-0.35,0.06
2/4/2018,89.2,89.2,,
2/2/2018,89.19,89.19,-0.06,0.12
2/1/2018,88.67,88.67,-0.1,0.16
1/31/2018,89.13,89.13,-0.04,0.16
1/30/2018,89.16,89.16,-0.07,0.16
1/29/2018,89.31,89.31,0.12,0.16
1/28/2018,89.06,89.06,,
1/26/2018,89.07,89.07,0.19,0.16
1/25/2018,89.39,89.39,0.24,0.17
1/24/2018,89.21,89.21,0.15,0.17
1/23/2018,90.12,90.12,0.11,0.16
1/22/2018,90.4,90.4,0.13,0.17
1/21/2018,90.51,90.51,,
1/19/2018,90.57,90.57,0.1,0.17
1/18/2018,90.5,90.5,0.14,0.17
1/17/2018,90.54,90.54,0.04,0.17
1/16/2018,90.39,90.39,-0.04,0.17
1/15/2018,90.97,90.97,,
1/14/2018,90.89,90.89,,
1/12/2018,90.97,90.97,0.08,0.17
1/11/2018,91.85,91.85,0.25,0.18
1/10/2018,92.33,92.33,0.24,0.19
1/9/2018,92.53,92.53,0.23,0.19
